epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1035.27,0.94016,1.28657,0.47647,0.85956,0.92398,0.81997,0.91421,0.5659,0.713,0.63746,0.66426,0.26746,1.23961,1.68512,0.54746,0.90796,0.000173375,0.000173375,0.000173375
89,1046.97,0.92466,1.24972,0.47247,0.85731,0.89596,0.84456,0.92575,0.56592,0.69152,0.65845,0.67769,0.27012,1.23385,1.6744,0.55188,0.90629,0.000161,0.000161,0.000161
90,1058.72,0.94479,1.28396,0.48034,0.85948,0.91539,0.82552,0.92124,0.56074,0.71593,0.6459,0.67023,0.27536,1.21861,1.68277,0.54573,0.90686,0.000148625,0.000148625,0.000148625
91,1091.68,0.89283,1.22941,0.46572,0.86419,0.86012,0.86198,0.91326,0.55445,0.71736,0.61912,0.65761,0.25818,1.24106,1.75383,0.56037,0.90704,0.00013625,0.00013625,0.00013625
92,1103.1,0.89396,1.23046,0.46397,0.86652,0.87807,0.85018,0.91335,0.55661,0.69023,0.62439,0.64588,0.24978,1.24607,1.7263,0.55488,0.90836,0.000123875,0.000123875,0.000123875
93,1114.59,0.88357,1.21692,0.4571,0.8599,0.89102,0.85748,0.92189,0.57206,0.71347,0.66542,0.68855,0.27461,1.22083,1.69816,0.55043,0.9066,0.0001115,0.0001115,0.0001115
94,1126.09,0.87382,1.22572,0.45295,0.86063,0.86954,0.86748,0.91651,0.56991,0.6696,0.65021,0.64573,0.25668,1.22927,1.68967,0.55027,0.90708,9.9125e-05,9.9125e-05,9.9125e-05
95,1137.49,0.87498,1.19543,0.4526,0.85936,0.86917,0.87821,0.91804,0.57488,0.71148,0.67458,0.68636,0.27775,1.20739,1.65646,0.5428,0.9034,8.675e-05,8.675e-05,8.675e-05
96,1149,0.84861,1.18489,0.44388,0.85892,0.86933,0.84991,0.91246,0.56559,0.65935,0.6502,0.64116,0.25349,1.24283,1.83745,0.55257,0.90466,7.4375e-05,7.4375e-05,7.4375e-05
97,1160.47,0.84581,1.18594,0.44341,0.85769,0.88353,0.8565,0.91839,0.57228,0.67224,0.65117,0.65141,0.26021,1.22392,1.73708,0.54766,0.90253,6.2e-05,6.2e-05,6.2e-05
98,1171.98,0.85317,1.19567,0.44807,0.85673,0.90447,0.83681,0.92053,0.57147,0.6961,0.64584,0.66829,0.26725,1.22401,1.73587,0.54908,0.90603,4.9625e-05,4.9625e-05,4.9625e-05
99,1183.53,0.84299,1.17494,0.44475,0.85628,0.91306,0.84035,0.91741,0.56936,0.7004,0.65065,0.6653,0.26874,1.22973,1.71064,0.54469,0.90524,3.725e-05,3.725e-05,3.725e-05
100,1195.11,0.83689,1.16273,0.44206,0.8538,0.89758,0.84828,0.92478,0.57581,0.70296,0.65611,0.6768,0.27539,1.21645,1.71483,0.54049,0.90282,2.4875e-05,2.4875e-05,2.4875e-05
