epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,24.718,0.839,1.87436,1.24991,0.7738,0.65,0.85676,0.61581,1.62173,1.30076,1.35571,2.46022e-05,2.46022e-05,2.46022e-05
31,25.6929,0.77098,1.24698,1.20281,0.74398,0.65,0.85722,0.61677,1.62571,1.34301,1.35465,2.50971e-05,2.50971e-05,2.50971e-05
32,26.691,0.91077,1.47315,1.25819,0.74398,0.65,0.85722,0.61677,1.62571,1.34301,1.35465,2.55685e-05,2.55685e-05,2.55685e-05
33,27.6558,0.87933,1.894,1.17158,0.7275,0.65522,0.85215,0.61825,1.59862,1.38657,1.34301,2.60163e-05,2.60163e-05,2.60163e-05
34,28.5009,0.83739,1.46453,1.23494,0.7275,0.65522,0.85215,0.61825,1.59862,1.38657,1.34301,2.64405e-05,2.64405e-05,2.64405e-05
35,29.4038,0.77926,1.03893,1.16888,0.71944,0.66667,0.85265,0.60084,1.60443,1.44534,1.33875,2.68412e-05,2.68412e-05,2.68412e-05
36,30.2521,0.99929,1.12304,1.31716,0.71944,0.66667,0.85265,0.60084,1.60443,1.44534,1.33875,2.72183e-05,2.72183e-05,2.72183e-05
37,31.0569,0.40227,0.65469,0.90191,0.68901,0.67959,0.76889,0.52546,1.6592,1.47767,1.36287,2.75718e-05,2.75718e-05,2.75718e-05
38,31.723,0.9949,1.24077,1.44757,0.68901,0.67959,0.76889,0.52546,1.6592,1.47767,1.36287,2.79018e-05,2.79018e-05,2.79018e-05
39,32.4674,0.75912,1.3939,1.1185,0.75158,0.53031,0.68382,0.47457,1.67653,1.5601,1.3703,2.82082e-05,2.82082e-05,2.82082e-05
40,33.3596,0.43999,1.36357,1.02969,0.75158,0.53031,0.68382,0.47457,1.67653,1.5601,1.3703,2.84911e-05,2.84911e-05,2.84911e-05
41,34.059,0.7771,1.01253,1.21084,0.74501,0.53333,0.68375,0.45608,1.69262,1.63868,1.38499,2.87504e-05,2.87504e-05,2.87504e-05
42,34.7292,0.84996,1.4962,1.3495,0.74501,0.53333,0.68375,0.45608,1.69262,1.63868,1.38499,2.89861e-05,2.89861e-05,2.89861e-05
43,35.4246,1.02333,1.68907,1.3786,0.58999,0.54457,0.68176,0.44743,1.71233,1.69563,1.40564,2.91983e-05,2.91983e-05,2.91983e-05
44,36.1304,0.96008,1.56811,1.37153,0.58999,0.54457,0.68176,0.44743,1.71233,1.69563,1.40564,2.93869e-05,2.93869e-05,2.93869e-05
45,36.8917,0.78321,1.11903,1.23211,0.74505,0.51667,0.61876,0.39052,1.7342,1.7542,1.41988,2.9552e-05,2.9552e-05,2.9552e-05
46,37.619,0.78308,0.75787,1.08091,0.74505,0.51667,0.61876,0.39052,1.7342,1.7542,1.41988,2.96935e-05,2.96935e-05,2.96935e-05
47,38.438,1.07524,1.07921,1.40908,0.74888,0.51667,0.61649,0.35597,1.72442,1.76015,1.41292,2.98114e-05,2.98114e-05,2.98114e-05
48,39.0821,0.76548,0.86494,1.20685,0.74888,0.51667,0.61649,0.35597,1.72442,1.76015,1.41292,2.99058e-05,2.99058e-05,2.99058e-05
49,39.7842,0.56169,0.9232,1.05506,0.76212,0.51667,0.60952,0.35494,1.71762,1.84309,1.41773,2.99766e-05,2.99766e-05,2.99766e-05
50,40.4311,0.84724,0.95718,1.30951,0.76212,0.51667,0.60952,0.35494,1.71762,1.84309,1.41773,3.00238e-05,3.00238e-05,3.00238e-05
51,41.1201,0.71501,0.98147,1.03048,0.79113,0.51618,0.53862,0.29227,1.75552,1.93329,1.4389,3.00475e-05,3.00475e-05,3.00475e-05
52,41.783,0.5129,0.80766,1.0087,0.79113,0.51618,0.53862,0.29227,1.75552,1.93329,1.4389,3.00476e-05,3.00476e-05,3.00476e-05
53,42.4475,0.71842,0.9662,1.17721,0.79113,0.51618,0.53862,0.29227,1.75552,1.93329,1.4389,3.00242e-05,3.00242e-05,3.00242e-05
54,43.1368,0.73684,0.84057,1.18213,0.8017,0.50996,0.5352,0.27316,1.80405,2.04572,1.45433,2.99772e-05,2.99772e-05,2.99772e-05
55,43.8034,0.8069,0.94152,1.20739,0.8017,0.50996,0.5352,0.27316,1.80405,2.04572,1.45433,2.99066e-05,2.99066e-05,2.99066e-05
56,44.4716,1.12222,1.40926,1.32601,0.8017,0.50996,0.5352,0.27316,1.80405,2.04572,1.45433,2.98125e-05,2.98125e-05,2.98125e-05
57,45.1701,0.86371,0.90209,1.28583,0.81282,0.50824,0.52063,0.2617,1.80432,2.12949,1.45897,2.96948e-05,2.96948e-05,2.96948e-05
58,45.8466,0.58353,0.68202,1.01694,0.81282,0.50824,0.52063,0.2617,1.80432,2.12949,1.45897,2.95535e-05,2.95535e-05,2.95535e-05
59,46.4943,0.75983,0.99762,1.2865,0.81282,0.50824,0.52063,0.2617,1.80432,2.12949,1.45897,2.93887e-05,2.93887e-05,2.93887e-05
60,47.1886,0.61989,1.11895,1.1666,0.82718,0.49983,0.52125,0.25813,1.74572,2.15834,1.44151,2.92003e-05,2.92003e-05,2.92003e-05
61,47.8551,0.87504,1.07981,1.18161,0.82718,0.49983,0.52125,0.25813,1.74572,2.15834,1.44151,2.89884e-05,2.89884e-05,2.89884e-05
62,48.5141,0.86912,0.89453,1.30054,0.82718,0.49983,0.52125,0.25813,1.74572,2.15834,1.44151,2.87529e-05,2.87529e-05,2.87529e-05
63,49.2258,0.78872,1.40976,1.09457,0.83514,0.50014,0.52012,0.25465,1.75541,2.21944,1.45103,2.84938e-05,2.84938e-05,2.84938e-05
64,49.8909,0.75412,0.86129,1.24364,0.83514,0.50014,0.52012,0.25465,1.75541,2.21944,1.45103,2.82112e-05,2.82112e-05,2.82112e-05
65,50.5543,0.77279,0.98093,1.13293,0.83514,0.50014,0.52012,0.25465,1.75541,2.21944,1.45103,2.7905e-05,2.7905e-05,2.7905e-05
66,51.2065,0.81179,0.89549,1.24995,0.84599,0.49535,0.52123,0.25255,1.72948,2.28383,1.4444,2.75753e-05,2.75753e-05,2.75753e-05
67,51.8616,0.81984,1.17338,1.22749,0.84599,0.49535,0.52123,0.25255,1.72948,2.28383,1.4444,2.7222e-05,2.7222e-05,2.7222e-05
68,52.5307,0.66438,0.83332,1.08555,0.84599,0.49535,0.52123,0.25255,1.72948,2.28383,1.4444,2.68451e-05,2.68451e-05,2.68451e-05
69,53.2235,0.68223,0.67482,1.17687,0.84179,0.49295,0.51822,0.25613,1.78976,2.35367,1.4745,2.64447e-05,2.64447e-05,2.64447e-05
70,53.8972,0.68579,0.63574,1.01312,0.84179,0.49295,0.51822,0.25613,1.78976,2.35367,1.4745,2.60207e-05,2.60207e-05,2.60207e-05
71,54.75,0.8514,0.84767,1.23232,0.84179,0.49295,0.51822,0.25613,1.78976,2.35367,1.4745,2.55731e-05,2.55731e-05,2.55731e-05
72,55.4745,0.84424,0.98142,1.13089,0.84434,0.49267,0.52438,0.25517,1.85259,2.4373,1.52369,2.5102e-05,2.5102e-05,2.5102e-05
73,56.3952,0.76965,1.05395,1.15796,0.84434,0.49267,0.52438,0.25517,1.85259,2.4373,1.52369,2.46073e-05,2.46073e-05,2.46073e-05
74,57.2671,0.83044,0.75497,1.13756,0.84434,0.49267,0.52438,0.25517,1.85259,2.4373,1.52369,2.40891e-05,2.40891e-05,2.40891e-05
75,58.1178,0.67014,0.63313,1.19808,0.84557,0.49402,0.52597,0.25526,1.84711,2.41843,1.53303,2.35472e-05,2.35472e-05,2.35472e-05
76,58.9609,0.56998,0.75586,1.05219,0.84557,0.49402,0.52597,0.25526,1.84711,2.41843,1.53303,2.29819e-05,2.29819e-05,2.29819e-05
77,59.67,0.73012,0.71351,1.19079,0.84557,0.49402,0.52597,0.25526,1.84711,2.41843,1.53303,2.23929e-05,2.23929e-05,2.23929e-05
78,60.3888,0.61233,0.95751,1.08578,0.70872,0.39957,0.43488,0.24516,1.89909,2.45372,1.56472,2.17805e-05,2.17805e-05,2.17805e-05
79,61.0547,0.9006,0.76152,1.22031,0.70872,0.39957,0.43488,0.24516,1.89909,2.45372,1.56472,2.11444e-05,2.11444e-05,2.11444e-05
80,61.7122,0.72209,0.74511,1.09742,0.70872,0.39957,0.43488,0.24516,1.89909,2.45372,1.56472,2.04848e-05,2.04848e-05,2.04848e-05
81,62.404,0.68663,0.65331,1.21311,0.84585,0.48931,0.51871,0.25655,1.90076,2.43936,1.53761,1.98016e-05,1.98016e-05,1.98016e-05
82,63.083,0.63186,0.68671,1.028,0.84585,0.48931,0.51871,0.25655,1.90076,2.43936,1.53761,1.90949e-05,1.90949e-05,1.90949e-05
83,63.7769,0.74647,0.7471,1.11101,0.84585,0.48931,0.51871,0.25655,1.90076,2.43936,1.53761,1.83646e-05,1.83646e-05,1.83646e-05
84,64.4869,0.74948,0.85141,1.12565,0.84607,0.4913,0.51353,0.25407,1.90162,2.48407,1.55891,1.76107e-05,1.76107e-05,1.76107e-05
85,65.1451,0.6684,0.77068,1.11468,0.84607,0.4913,0.51353,0.25407,1.90162,2.48407,1.55891,1.68333e-05,1.68333e-05,1.68333e-05
86,65.8077,0.97691,1.12427,1.47681,0.84607,0.4913,0.51353,0.25407,1.90162,2.48407,1.55891,1.60323e-05,1.60323e-05,1.60323e-05
87,66.4634,0.69929,1.03418,1.19711,0.84607,0.4913,0.51353,0.25407,1.90162,2.48407,1.55891,1.52077e-05,1.52077e-05,1.52077e-05
88,67.1625,0.59953,0.66511,0.99315,0.85393,0.49281,0.522,0.25385,1.90016,2.47484,1.57255,1.43596e-05,1.43596e-05,1.43596e-05
89,67.8383,0.64762,0.72855,1.10957,0.85393,0.49281,0.522,0.25385,1.90016,2.47484,1.57255,1.34879e-05,1.34879e-05,1.34879e-05
90,68.4851,0.53636,0.6333,1.01406,0.85393,0.49281,0.522,0.25385,1.90016,2.47484,1.57255,1.25927e-05,1.25927e-05,1.25927e-05
91,69.14,0.5316,0.51544,0.92184,0.85393,0.49281,0.522,0.25385,1.90016,2.47484,1.57255,1.16739e-05,1.16739e-05,1.16739e-05
92,69.8488,0.65549,0.54528,1.09915,0.84592,0.49589,0.51204,0.26855,1.84781,2.33953,1.49378,1.07315e-05,1.07315e-05,1.07315e-05
93,70.4902,0.79864,0.62423,1.34912,0.84592,0.49589,0.51204,0.26855,1.84781,2.33953,1.49378,9.76562e-06,9.76562e-06,9.76562e-06
94,71.1577,0.47839,0.43175,0.90707,0.84592,0.49589,0.51204,0.26855,1.84781,2.33953,1.49378,8.77613e-06,8.77613e-06,8.77613e-06
95,71.8141,0.60635,0.53673,0.94177,0.84592,0.49589,0.51204,0.26855,1.84781,2.33953,1.49378,7.76308e-06,7.76308e-06,7.76308e-06
96,72.4799,0.47101,0.47142,0.92704,0.81829,0.49559,0.51088,0.27862,1.79517,2.24686,1.46481,6.72648e-06,6.72648e-06,6.72648e-06
97,73.1705,0.58725,0.5471,0.99153,0.81829,0.49559,0.51088,0.27862,1.79517,2.24686,1.46481,5.6663e-06,5.6663e-06,5.6663e-06
98,73.8564,0.46389,0.52256,0.91724,0.81829,0.49559,0.51088,0.27862,1.79517,2.24686,1.46481,4.58257e-06,4.58257e-06,4.58257e-06
99,74.5008,0.53147,0.50336,0.95573,0.81829,0.49559,0.51088,0.27862,1.79517,2.24686,1.46481,3.47528e-06,3.47528e-06,3.47528e-06
100,75.1959,0.53257,0.53414,1.01843,0.82346,0.48974,0.51675,0.28501,1.68179,2.01966,1.39943,2.34442e-06,2.34442e-06,2.34442e-06
