epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,487.195,1.24035,1.59001,0.61726,0.93025,0.83681,0.78402,0.86254,0.43812,0.59602,0.53408,0.51222,0.16394,1.44282,2.25183,0.67185,0.94016,0.00100869,0.00100869,0.00100869
41,499.212,1.27459,1.61078,0.6209,0.9335,0.81895,0.77607,0.84634,0.44878,0.69817,0.52922,0.57061,0.21261,1.42154,2.04009,0.66352,0.93731,0.0010025,0.0010025,0.0010025
42,511.216,1.29238,1.64794,0.6357,0.93542,0.83367,0.76814,0.84922,0.46539,0.67397,0.60817,0.61842,0.2274,1.36552,1.76912,0.65107,0.93565,0.000996313,0.000996313,0.000996313
43,523.322,1.24176,1.61143,0.61734,0.92663,0.86669,0.79421,0.87397,0.46644,0.63592,0.61878,0.59765,0.21491,1.3851,1.89315,0.64628,0.93859,0.000990125,0.000990125,0.000990125
44,535.375,1.25703,1.60602,0.62023,0.92543,0.87378,0.79634,0.88399,0.48846,0.66775,0.62994,0.63432,0.23192,1.33436,1.82459,0.63571,0.92595,0.000983938,0.000983938,0.000983938
45,547.462,1.22638,1.57862,0.60816,0.91675,0.87277,0.76801,0.85438,0.46606,0.66245,0.57918,0.58258,0.20604,1.38889,1.98331,0.64106,0.9403,0.00097775,0.00097775,0.00097775
46,559.422,1.27609,1.63304,0.61943,0.92569,0.8951,0.78914,0.88426,0.49089,0.63957,0.62493,0.61389,0.22667,1.33552,1.82286,0.6335,0.92498,0.000971562,0.000971562,0.000971562
47,571.437,1.20078,1.53433,0.59354,0.91857,0.87508,0.77722,0.88102,0.47571,0.64466,0.6443,0.63134,0.23995,1.36679,1.85153,0.63354,0.94265,0.000965375,0.000965375,0.000965375
48,583.51,1.20152,1.58164,0.59329,0.91996,0.86176,0.77896,0.8541,0.46402,0.61012,0.57245,0.56578,0.19673,1.41227,1.99517,0.64968,0.94388,0.000959187,0.000959187,0.000959187
49,595.483,1.20704,1.60472,0.5975,0.92237,0.84384,0.83475,0.89147,0.49518,0.65594,0.65164,0.63206,0.24853,1.32541,1.75741,0.62516,0.932,0.000953,0.000953,0.000953
50,607.71,1.20878,1.53029,0.59831,0.9219,0.83936,0.8123,0.85669,0.4655,0.60653,0.60783,0.55576,0.18593,1.4076,2.05175,0.64825,0.943,0.000946812,0.000946812,0.000946812
51,619.724,1.2073,1.58519,0.59588,0.92028,0.81579,0.82033,0.86,0.47575,0.58509,0.61041,0.56971,0.19803,1.36556,1.98204,0.63747,0.93057,0.000940625,0.000940625,0.000940625
52,631.804,1.20573,1.56993,0.59419,0.90856,0.83951,0.80354,0.85861,0.47823,0.65576,0.66242,0.6299,0.2355,1.34116,1.71558,0.63001,0.92893,0.000934438,0.000934438,0.000934438
53,643.856,1.20397,1.54517,0.60147,0.92333,0.83429,0.76975,0.83811,0.45416,0.62872,0.62474,0.58907,0.21831,1.38838,1.93614,0.66079,0.9378,0.00092825,0.00092825,0.00092825
54,655.899,1.20911,1.55376,0.5954,0.91505,0.86782,0.81927,0.88922,0.49567,0.66085,0.61986,0.61043,0.22514,1.31308,1.76433,0.62631,0.92288,0.000922063,0.000922063,0.000922063
55,667.867,1.19524,1.56337,0.59205,0.91581,0.85302,0.84651,0.88788,0.49233,0.72407,0.70826,0.70301,0.26688,1.37363,1.68371,0.62931,0.93095,0.000915875,0.000915875,0.000915875
